Tweet,Message/tweets,Match,Polarity
1, EmilyLazatin PM JustinTrudeau says gov is teaming up with Arcteryx canadagoose and Stanfields1856 to produce medical gownsCanad,,Neutral
2, TPostMillennial Stay strong Boris Your friends in Canada are supporting you through this  ,"strong,supporting",Positive
3, haroldmunro What a great story Coquitlam company retools and starting Tuesday 100000 medicalgrade surgical masks will be rolling o,great,Positive
4, Bourassa1963 Critical COVID19 masks heading to Canada after Trump and 3M reach deal,,Neutral
5, JPTasker Canada Goose and Stanfields among other clothing manufacturers will make some PPE like gowns Trudeau says theyve signed,like,Positive
6, tvanouvelles Jusqu 30 000 respirateurs vont tre fabriqus au Canada grce  des ententes avec des compagnies dici dont CAE ,,Neutral
7, DeItaOne US AND CANADA NEED TO PLAY A ROLE IN DETERMINING OIL PRODUCTION CUTS  IRAN OIL MINISTEROOTT,,Neutral
8,Given the exacerbating situation around the pandemic 10 detainees at Quebecs Laval Immigration Monitoring Centre ,,Neutral
9, JPTasker Were working around the clock to make sure our frontline workers have everything they need to stay safe PM says Trudeau,safe,Positive
10,If you have stopped working because of COVID19 the Canada Emergency Response Benefit CERB may provide you with ,,Neutral
11, TondaMacC Trudeau announces deals to put another 30000 ventilators into production in CanadaThats a huge number on top of the 105,top,Positive
12, ABC13News CLOSED FOR EASTER Lowes has announced all stores and distribution centers in the US and Canada will be closed on Easter Su,,Neutral
13, MercedesGlobal PM Trudeau announces Canadian companies will produce up to 30000 ventilators that will be made in Canada cdnpoli co,,Neutral
14, CJAD800 PM Trudeau reminds us we need to follow the physical distancing measures this spring so we can have a good summer Health Cana,good,Positive
15, JonErlichman Average time people were spending on the internet each day before Covid19US 6 hours 42 minutesItaly 6 hoursCanad,,Neutral
16,BalkhiWaqasSorry for the inconvenience our apologies  We are now following you so you should be able to DM Ple ,inconvenience,Negative
17, Motomom128302 Health Canada recruiting volunteers to help WTAF JustinTrudeau you fucking coward You want these people to put t,"coward,fucking",Negative
18,PM announces madeinCanada solutions comingthousands of Canadian companies respond to the need ,,Neutral
19,Canada getting everyone in need financial assistance but this guy cant find a way to defer bills in one community ,,Neutral
20, ICILouisBlouin Demain le Canada recevra 500 000 masques de lentreprise 3M polcan,,Neutral
21, jacsrons Its the big day Canada Get your copy of NERVE by evaholland from your local bookstore or as an ebook or audio book You,,Neutral
22, CBCQueensPark BREAKING The number of COVID19 tests Ontario completes daily is actually dropping steadily over the past week The,,Neutral
23, KcRated BVillions rolfeyswoman WeHaveRisen HB04920973 Shorty56167141 erriers TribbleIndustr1 ThomasFines FederalistNo78 ,,Neutral
24, Motomom128302 Voted you back in Everytime you say youre working hard I get pissed off You havent worked a day in your life,"worked,hard",Neutral
25,lalalalykalala giasebel HAHAHAHAHAHAHAHAHAHHAHA Ano ba sabi ng gov ng canada stay home daw ba,,Neutral
26, EUStartups B2B Founders What NOT to do when expanding to the US and Canada  From launching too early to casting too wide a net,,Neutral
27,realDonaldTrump China WHO UN EU Canada CNN NBC New York Times Obama Biden Hillary Cuomo Democratic Par ,,Neutral
28, CanadasPatriots Welcome to the Federal Prison of Canada known widely asCAMP COVID19Warden Heir Justin TrudeauGuarded by  T,,Neutral
29, CameronAhmad Today the PM is announcing production of more supplies amp medical equipment in Canada nearly 5000  companies have offe,,Neutral
30,Not a huge fan of JustinTrudeau but wow what a stark difference in press updates from the Prime Minister as oppos ,"wow,stark",Neutral
31, mikawoz Hello I am the writer and author of Northern Lake Adventures  The Encounter  Please share with parents teachers and pe,,Neutral
