created_at,text,User_Location,lang,retweeted,reweet_count
Tue Apr 07 15:27:28 +0000 2020,RT EmilyLazatin PM JustinTrudeau says gov is teaming up with Arcteryx canadagoose and Stanfields1856 to produce medical gownsCanad,Truro  Nova Scotia,en,FALSE,1
Tue Apr 07 15:27:28 +0000 2020,RT TPostMillennial Stay strong Boris Your friends in Canada are supporting you through this  ,,en,FALSE,6
Tue Apr 07 15:27:28 +0000 2020,RT haroldmunro What a great story Coquitlam company retools and starting Tuesday 100000 medicalgrade surgical masks will be rolling o,,en,FALSE,1555
Tue Apr 07 15:27:27 +0000 2020,RT Bourassa1963 Critical COVID19 masks heading to Canada after Trump and 3M reach deal,,en,FALSE,13
Tue Apr 07 15:27:27 +0000 2020,RT JPTasker Canada Goose and Stanfields among other clothing manufacturers will make some PPE like gowns Trudeau says theyve signed,,en,FALSE,11
Tue Apr 07 15:27:27 +0000 2020,RT tvanouvelles Jusqu 30 000 respirateurs vont tre fabriqus au Canada grce  des ententes avec des compagnies dici dont CAE ,Sherbrooke,fr,FALSE,2
Tue Apr 07 15:27:27 +0000 2020,RT DeItaOne US AND CANADA NEED TO PLAY A ROLE IN DETERMINING OIL PRODUCTION CUTS  IRAN OIL MINISTEROOTT,,en,FALSE,8
Tue Apr 07 15:27:27 +0000 2020,Given the exacerbating situation around the pandemic 10 detainees at Quebecs Laval Immigration Monitoring Centre ,,en,FALSE,0
Tue Apr 07 15:27:26 +0000 2020,RT JPTasker Were working around the clock to make sure our frontline workers have everything they need to stay safe PM says Trudeau,North America,en,FALSE,6
Tue Apr 07 15:27:26 +0000 2020,If you have stopped working because of COVID19 the Canada Emergency Response Benefit CERB may provide you with ,Toronto  ON,en,FALSE,0
Tue Apr 07 15:27:26 +0000 2020,RT TondaMacC Trudeau announces deals to put another 30000 ventilators into production in CanadaThats a huge number on top of the 105,Vancouver Island  ,en,FALSE,8
Tue Apr 07 15:27:25 +0000 2020,RT ABC13News CLOSED FOR EASTER Lowes has announced all stores and distribution centers in the US and Canada will be closed on Easter Su,Virginia,en,FALSE,2
Tue Apr 07 15:27:25 +0000 2020,RT MercedesGlobal PM Trudeau announces Canadian companies will produce up to 30000 ventilators that will be made in Canada cdnpoli co,The Very Large Person State,en,FALSE,13
Tue Apr 07 15:27:24 +0000 2020,RT CJAD800 PM Trudeau reminds us we need to follow the physical distancing measures this spring so we can have a good summer Health Cana,Montreal  Quebec,en,FALSE,2
Tue Apr 07 15:27:24 +0000 2020,RT JonErlichman Average time people were spending on the internet each day before Covid19US 6 hours 42 minutesItaly 6 hoursCanad,,en,FALSE,43
Tue Apr 07 15:27:23 +0000 2020,BalkhiWaqasSorry for the inconvenience our apologies  We are now following you so you should be able to DM Ple ,,en,FALSE,0
Tue Apr 07 15:27:23 +0000 2020,RT Motomom128302 Health Canada recruiting volunteers to help WTAF JustinTrudeau you fucking coward You want these people to put t,,en,FALSE,6
Tue Apr 07 15:27:23 +0000 2020,PM announces madeinCanada solutions comingthousands of Canadian companies respond to the need ,,en,FALSE,0
Tue Apr 07 15:27:23 +0000 2020,Canada getting everyone in need financial assistance but this guy cant find a way to defer bills in one community ,,en,FALSE,0
Tue Apr 07 15:27:22 +0000 2020,RT ICILouisBlouin Demain le Canada recevra 500 000 masques de lentreprise 3M polcan,Saint Jean sur Richelieu,fr,FALSE,4
Tue Apr 07 15:27:22 +0000 2020,RT jacsrons Its the big day Canada Get your copy of NERVE by evaholland from your local bookstore or as an ebook or audio book You,Edmonton  Alberta,en,FALSE,1
Tue Apr 07 15:27:22 +0000 2020,RT CBCQueensPark BREAKING The number of COVID19 tests Ontario completes daily is actually dropping steadily over the past week The,ontario  canada,en,FALSE,86
Tue Apr 07 15:27:21 +0000 2020,RT KcRated BVillions rolfeyswoman WeHaveRisen HB04920973 Shorty56167141 RTerriers TribbleIndustr1 ThomasFines FederalistNo78 ,,und,FALSE,1
Tue Apr 07 15:27:21 +0000 2020,RT Motomom128302 Voted you back in Everytime you say youre working hard I get pissed off You havent worked a day in your life,,en,FALSE,3
Tue Apr 07 15:27:21 +0000 2020,lalalalykalala giasebel HAHAHAHAHAHAHAHAHAHHAHA Ano ba sabi ng gov ng canada stay home daw ba,,tl,FALSE,0
Tue Apr 07 15:27:21 +0000 2020,RT EUStartups B2B Founders What NOT to do when expanding to the US and Canada  From launching too early to casting too wide a net,Barcelona  Spanien,en,FALSE,1
Tue Apr 07 15:27:21 +0000 2020,realDonaldTrump China WHO UN EU Canada CNN NBC New York Times Obama Biden Hillary Cuomo Democratic Par ,,en,FALSE,0
Tue Apr 07 15:27:21 +0000 2020,RT CanadasPatriots Welcome to the Federal Prison of Canada known widely asCAMP COVID19Warden Heir Justin TrudeauGuarded by  T,British Columbia  Canada,en,FALSE,5
Tue Apr 07 15:27:20 +0000 2020,RT CameronAhmad Today the PM is announcing production of more supplies amp medical equipment in Canada nearly 5000  companies have offe,Canada,en,FALSE,16
Tue Apr 07 15:27:20 +0000 2020,Not a huge fan of JustinTrudeau but wow what a stark difference in press updates from the Prime Minister as oppos ,New Brunswick  Canada,en,FALSE,0
Tue Apr 07 15:27:20 +0000 2020,RT mikawoz Hello I am the writer and author of Northern Lake Adventures  The Encounter  Please share with parents teachers and pe,Canada,en,FALSE,1
Tue Apr 07 15:27:20 +0000 2020,guntruthcanada I only read for work I watch tv in my free time,Toronto  Ontario,en,FALSE,0
